City,STATE,Population,Venues Count,Teams in City,Total Attendance
winnipeg,MB,832186,1,1,488
edmonton,AB,1420916,2,1,502
calgary,AB,1486050,1,1,520
saltlake,UT,200591,1,1,587
jacksonville,FL,903889,1,1,689
sanantonio,TX,1532233,2,1,701
ottawa,ON,2828798,1,1,746
greenbay,WI,104879,1,1,752
raleigh,NC,469298,2,1,761
columbus,OH,892533,4,1,793
sacramento,CA,508529,2,1,799
sanjose,CA,1030119,3,1,803
vancouver,BC,2650005,2,1,813
memphis,TN,650618,2,1,842
oklahoma,OK,649021,1,1,1239
lasvegas,NV,644644,5,1,1665
orlando,FL,285713,4,1,1828
montreal,QC,4255541,2,1,1959
portland,OR,653115,2,1,5077
sandiego,CA,1425976,2,2,751
kansas,KS,152958,2,2,940
neworleans,LA,391006,3,2,1242
indianapolis,IN,867125,3,2,1315
cincinnati,OH,302605,3,2,1427
buffalo,NY,256304,2,2,1484
nashville,TN,669053,3,2,1490
charlotte,NC,872498,3,2,1493
milwaukee,WI,592025,2,2,1854
baltimore,MD,602495,2,2,2128
st.louis,MO,302838,3,2,6255
seattle,WA,744955,4,3,1724
pittsburgh,PA,301048,3,3,2666
toronto,ON,6341935,3,3,3543
atlanta,GA,498044,5,3,3767
cleveland,OH,383793,3,3,3962
houston,TX,2325502,6,3,4147
tampabay,FL,392890,1,3,5270
detroit,MI,672662,3,4,3847
dallas,TX,1345047,2,4,4136
phoenix,AZ,1660272,3,4,4312
philadelphia,PA,1584138,3,4,4313
washington,DC,702455,4,4,4776
minneapolis,MN,425403,4,4,4882
denver,CO,716492,3,4,5250
boston,MA,694583,2,4,5539
miami,FL,470914,3,4,5592
sanfrancisco/oakland,CA,1312387,4,4,7627
chicago,IL,2705994,4,5,6880
losangeles,CA,3990456,4,8,9726
newyork,NY,8398748,4,9,8349