,City,STATE,Population,Venues Count,Teams in City
0,newyork,NY,8398748,4,9
1,losangeles,CA,3990456,4,8
2,chicago,IL,2705994,4,5
3,houston,TX,2325502,6,3
4,phoenix,AZ,1660272,3,4
5,philadelphia,PA,1584138,3,4
6,sanantonio,TX,1532233,2,1
7,sandiego,CA,1425976,2,2
8,dallas,TX,1345047,2,4
9,sanfrancisco/oakland,CA,1312387,4,4
10,sanjose,CA,1030119,3,1
11,jacksonville,FL,903889,1,1
12,columbus,OH,892533,4,1
13,charlotte,NC,872498,3,2
14,indianapolis,IN,867125,3,2
15,seattle,WA,744955,4,3
16,denver,CO,716492,3,4
17,washington,DC,702455,4,4
18,boston,MA,694583,2,4
19,detroit,MI,672662,3,4
20,nashville,TN,669053,3,2
21,portland,OR,653115,2,1
22,memphis,TN,650618,2,1
23,oklahoma,OK,649021,1,1
24,lasvegas,NV,644644,5,1
25,baltimore,MD,602495,2,2
26,milwaukee,WI,592025,2,2
27,sacramento,CA,508529,2,1
28,atlanta,GA,498044,5,3
29,miami,FL,470914,3,4
30,raleigh,NC,469298,2,1
31,minneapolis,MN,425403,4,4
32,tampabay,FL,392890,1,3
33,neworleans,LA,391006,3,2
34,cleveland,OH,383793,3,3
35,st.louis,MO,302838,3,2
36,cincinnati,OH,302605,3,2
37,pittsburgh,PA,301048,3,3
38,orlando,FL,285713,4,1
39,buffalo,NY,256304,2,2
40,saltlake,UT,200591,1,1
41,kansas,KS,152958,2,2
42,greenbay,WI,104879,1,1
43,calgary,AB,1486050,1,1
44,edmonton,AB,1420916,2,1
45,montreal,QC,4255541,2,1
46,ottawa,ON,2828798,1,1
47,toronto,ON,6341935,3,3
48,vancouver,BC,2650005,2,1
49,winnipeg,MB,832186,1,1